table,ask_bucket,state_bucket_type,state_bucket,rows,matches,avg_ask,win_rate,win_rate_minus_avg_ask,avg_pnl,total_pnl,robust_residual_bucket,robust_gate_reason
state_residual,35_50,side_transition_kill_delta_bucket,transition_kill_1_2,139,43,0.4374820143884892,0.38848920863309355,-0.04899280575539566,-0.04899280575539567,-6.809999999999998,False,nonpositive_residual
state_residual,35_50,side_transition_kill_delta_bucket,transition_kill_ge_3,443,64,0.4290519187358917,0.4040632054176072,-0.024988713318284506,-0.02498871331828441,-11.069999999999993,False,nonpositive_residual
state_residual,35_50,side_transition_kill_delta_bucket,transition_kill_le_-3,411,65,0.43729927007299274,0.40145985401459855,-0.03583941605839419,-0.035839416058394136,-14.72999999999999,False,nonpositive_residual
state_residual,50_65,side_transition_kill_delta_bucket,transition_kill_-2_-1,21,9,0.5823809523809524,0.47619047619047616,-0.10619047619047628,-0.10619047619047621,-2.2300000000000004,False,too_few_rows
state_residual,50_65,side_transition_kill_delta_bucket,transition_kill_0,306,51,0.5832679738562091,0.5,-0.0832679738562091,-0.08326797385620914,-25.479999999999997,False,nonpositive_residual
state_residual,50_65,side_transition_kill_delta_bucket,transition_kill_1_2,127,43,0.5827559055118109,0.5039370078740157,-0.07881889763779515,-0.07881889763779526,-10.009999999999998,False,nonpositive_residual
state_residual,50_65,side_transition_kill_delta_bucket,transition_kill_ge_3,445,54,0.5847640449438203,0.5752808988764045,-0.009483146067415738,-0.009483146067415727,-4.219999999999999,False,nonpositive_residual
state_residual,50_65,side_transition_kill_delta_bucket,transition_kill_le_-3,392,54,0.5866581632653061,0.5841836734693877,-0.0024744897959183554,-0.0024744897959183714,-0.9700000000000015,False,nonpositive_residual
state_residual,65_80,side_transition_kill_delta_bucket,transition_kill_-2_-1,9,3,0.7466666666666667,0.1111111111111111,-0.6355555555555557,-0.6355555555555557,-5.720000000000001,False,too_few_rows
state_residual,65_80,side_transition_kill_delta_bucket,transition_kill_0,356,70,0.7353651685393259,0.6713483146067416,-0.06401685393258427,-0.06401685393258427,-22.79,False,nonpositive_residual
state_residual,65_80,side_transition_kill_delta_bucket,transition_kill_1_2,109,42,0.7359633027522936,0.6697247706422018,-0.06623853211009179,-0.06623853211009174,-7.220000000000001,False,nonpositive_residual
state_residual,65_80,side_transition_kill_delta_bucket,transition_kill_ge_3,533,76,0.7351594746716699,0.7485928705440901,0.013433395872420206,0.013433395872420253,7.159999999999995,True,pass
state_residual,65_80,side_transition_kill_delta_bucket,transition_kill_le_-3,498,76,0.7377710843373493,0.714859437751004,-0.022911646586345258,-0.022911646586345386,-11.410000000000002,False,nonpositive_residual
state_residual,80_100,side_transition_kill_delta_bucket,transition_kill_-2_-1,6,5,0.8683333333333333,0.8333333333333334,-0.03499999999999992,-0.034999999999999976,-0.20999999999999985,False,too_few_rows
state_residual,80_100,side_transition_kill_delta_bucket,transition_kill_0,473,79,0.886448202959831,0.86892177589852,-0.017526427061310912,-0.017526427061310773,-8.289999999999996,False,nonpositive_residual
state_residual,80_100,side_transition_kill_delta_bucket,transition_kill_1_2,211,61,0.8892890995260663,0.8625592417061612,-0.026729857819905112,-0.026729857819905212,-5.64,False,nonpositive_residual
state_residual,80_100,side_transition_kill_delta_bucket,transition_kill_ge_3,774,85,0.8879302325581394,0.872093023255814,-0.01583720930232546,-0.015837209302325572,-12.257999999999992,False,nonpositive_residual
