model_name,score_kind,ask_filter,threshold,folds,trades,wins,pnl,pnl_1c,pnl_2c,win_rate,avg_ask
winprob_logistic,win_prob,ask_20_50,0.04,5,21,6,-2.3199999999999994,-2.53,-2.74,0.2857142857142857,0.3961904761904762
winprob_logistic,win_prob,ask_20_50,0.0,5,29,9,-2.34,-2.63,-2.9200000000000004,0.3103448275862069,0.3910344827586207
winprob_logistic,win_prob,ask_20_60,0.1,5,14,4,-2.6599999999999997,-2.8000000000000003,-2.94,0.2857142857142857,0.4757142857142857
winprob_logistic,win_prob,ask_20_60,0.04,5,24,8,-2.65,-2.8899999999999997,-3.1300000000000003,0.3333333333333333,0.44375000000000003
winprob_logistic,win_prob,ask_20_60,0.06,5,21,7,-2.7199999999999998,-2.9300000000000006,-3.14,0.3333333333333333,0.4628571428571429
value_logistic,value_class,ask_15_70,0.48,5,44,25,-2.2900000000000005,-2.730000000000001,-3.1700000000000013,0.5681818181818182,0.6202272727272727
value_logistic,value_class,ask_15_70,0.5,5,44,25,-2.3000000000000003,-2.7400000000000007,-3.180000000000001,0.5681818181818182,0.6204545454545455
winprob_hgb,win_prob,ask_15_70,0.02,5,56,22,-2.16,-2.72,-3.2800000000000007,0.39285714285714285,0.4314285714285715
winprob_logistic,win_prob,ask_20_60,0.0,5,36,14,-2.5999999999999996,-2.96,-3.3200000000000003,0.3888888888888889,0.461111111111111
value_hgb,value_class,ask_25_55,0.6,5,38,15,-2.6000000000000005,-2.9800000000000004,-3.3600000000000003,0.39473684210526316,0.46315789473684216
winprob_logistic,win_prob,ask_25_55,0.0,5,30,10,-2.79,-3.09,-3.3900000000000006,0.3333333333333333,0.4263333333333333
winprob_hgb,win_prob,ask_25_55,0.0,5,46,17,-2.5000000000000004,-2.960000000000001,-3.4200000000000013,0.3695652173913043,0.42391304347826086
winprob_hgb,win_prob,ask_20_50,0.02,5,48,16,-2.4699999999999993,-2.9499999999999997,-3.43,0.3333333333333333,0.38479166666666664
value_hgb,value_class,ask_20_50,0.6,5,38,13,-2.6799999999999997,-3.06,-3.4400000000000004,0.34210526315789475,0.4126315789473684
value_hgb,value_class,ask_20_60,0.5,5,48,19,-2.6500000000000004,-3.130000000000001,-3.610000000000001,0.3958333333333333,0.45104166666666673
value_logistic,value_class,ask_20_60,0.55,5,32,15,-2.9799999999999995,-3.3,-3.62,0.46875,0.561875
winprob_hgb,win_prob,ask_20_50,0.06,5,47,15,-2.8899999999999992,-3.3599999999999994,-3.83,0.3191489361702128,0.38063829787234044
value_logistic,value_class,ask_20_60,0.48,5,35,16,-3.1599999999999997,-3.5100000000000007,-3.8600000000000003,0.45714285714285713,0.5474285714285715
value_hgb,value_class,ask_20_50,0.58,5,39,13,-3.1299999999999994,-3.5199999999999996,-3.91,0.3333333333333333,0.41358974358974354
winprob_hgb,win_prob,ask_25_55,0.02,5,45,16,-3.02,-3.4700000000000006,-3.920000000000001,0.35555555555555557,0.42266666666666663
winprob_logistic,win_prob,ask_15_70,0.0,5,45,20,-3.18,-3.63,-4.08,0.4444444444444444,0.5151111111111111
value_hgb,value_class,ask_20_50,0.55,5,42,14,-3.2499999999999996,-3.67,-4.09,0.3333333333333333,0.4107142857142857
value_hgb,value_class,ask_20_50,0.5,5,45,15,-3.1999999999999993,-3.6499999999999995,-4.1,0.3333333333333333,0.40444444444444444
winprob_hgb,win_prob,ask_25_55,-0.02,5,48,17,-3.14,-3.620000000000001,-4.100000000000001,0.3541666666666667,0.41958333333333336
value_hgb,value_class,ask_25_55,0.62,5,37,14,-3.39,-3.7600000000000007,-4.130000000000001,0.3783783783783784,0.47000000000000003
value_logistic,value_class,ask_15_70,0.52,5,44,24,-3.3000000000000003,-3.7400000000000007,-4.1800000000000015,0.5454545454545454,0.6204545454545455
